SORA Publication Date,Compound SORA - 3 month
4.Oct.05,1.9026
5.Oct.05,1.9062
6.Oct.05,1.909
7.Oct.05,1.912
10.Oct.05,1.9225
11.Oct.05,1.9264
12.Oct.05,1.9318
13.Oct.05,1.9379
14.Oct.05,1.9439
17.Oct.05,1.9592
18.Oct.05,1.964
19.Oct.05,1.9682
20.Oct.05,1.9723
21.Oct.05,1.9761
24.Oct.05,1.9861
25.Oct.05,1.9898
26.Oct.05,1.9942
27.Oct.05,1.9994
28.Oct.05,2.0049
31.Oct.05,2.0231
2.Nov.05,2.0404
4.Nov.05,2.0565
7.Nov.05,2.0825
8.Nov.05,2.0914
9.Nov.05,2.1003
10.Nov.05,2.1098
11.Nov.05,2.1194
14.Nov.05,2.1537
15.Nov.05,2.1644
16.Nov.05,2.1747
17.Nov.05,2.1839
18.Nov.05,2.1941
21.Nov.05,2.2246
22.Nov.05,2.2356
23.Nov.05,2.2465
24.Nov.05,2.2534
25.Nov.05,2.2643
28.Nov.05,2.2962
29.Nov.05,2.3067
30.Nov.05,2.3158
1.Dec.05,2.3302
2.Dec.05,2.3409
5.Dec.05,2.368
6.Dec.05,2.376
7.Dec.05,2.3822
8.Dec.05,2.386
9.Dec.05,2.3937
12.Dec.05,2.4212
13.Dec.05,2.4291
14.Dec.05,2.4346
15.Dec.05,2.4424
16.Dec.05,2.4564
19.Dec.05,2.496
20.Dec.05,2.5081
21.Dec.05,2.5157
22.Dec.05,2.5208
23.Dec.05,2.5268
27.Dec.05,2.5509
28.Dec.05,2.5562
29.Dec.05,2.5639
30.Dec.05,2.5711
3.Jan.06,2.6352
4.Jan.06,2.647
5.Jan.06,2.663
6.Jan.06,2.679
9.Jan.06,2.7112
11.Jan.06,2.7283
12.Jan.06,2.7379
13.Jan.06,2.7492
16.Jan.06,2.7859
17.Jan.06,2.7949
18.Jan.06,2.8058
19.Jan.06,2.8168
20.Jan.06,2.8287
23.Jan.06,2.863
24.Jan.06,2.8742
25.Jan.06,2.8827
26.Jan.06,2.8906
27.Jan.06,2.8992
1.Feb.06,2.9672
2.Feb.06,2.9769
3.Feb.06,2.9886
6.Feb.06,3.0205
7.Feb.06,3.0312
8.Feb.06,3.0402
9.Feb.06,3.0453
10.Feb.06,3.0457
13.Feb.06,3.046
14.Feb.06,3.0437
15.Feb.06,3.0372
16.Feb.06,3.0212
